UserName,Tweet,Sentiment
mavi_apple,RT @MillennialOfMNL: [john cena voice] ARE YOU SURE ABOUT THAT https://t.co/pjNhGcMOLQ,"Sentiment(polarity=-0.125, subjectivity=0.9444444444444444)"
shookieillegirl,RT @billboard: John Cena has graciously volunteered to be BTS' bodyguard https://t.co/AVL8XClxMt https://t.co/RNUUOyLBED,"Sentiment(polarity=0.0, subjectivity=0.0)"
mlssa_jk9703,RT @nevermind0701: My sister came across JohnCena in China on my birthday.I’m a Chinese ARMY and a WWE fan. My sister helped me to ask for…,"Sentiment(polarity=0.0, subjectivity=0.0)"
Lailaalbitar1,RT @billboard: John Cena has graciously volunteered to be BTS' bodyguard https://t.co/AVL8XClxMt https://t.co/RNUUOyLBED,"Sentiment(polarity=0.0, subjectivity=0.0)"
nindyrestu,RT @people: John Cena Offers to Be K-Pop Sensation BTS's Bodyguard https://t.co/aW1YTZoLvN,"Sentiment(polarity=0.1, subjectivity=0.0)"
melinda_hafis,RT @people: John Cena Offers to Be K-Pop Sensation BTS's Bodyguard https://t.co/aW1YTZoLvN,"Sentiment(polarity=0.1, subjectivity=0.0)"
ElizabethAruqu3,"RT @WWE: Need a bodyguard, @bts_bighit? @JohnCena is at your service... https://t.co/KB3MUQuCPW","Sentiment(polarity=0.0, subjectivity=0.0)"
ElizabethAruqu3,"RT @Girl0fMinYoongi: El tio john cena es
-army
-hoseok biased
-guapo
-editor profesional
-actor
-cuerpazo
-estilazo
 ES EL HOMBRE QUE TODA…","Sentiment(polarity=0.0, subjectivity=0.0)"
realPatMoise,"RT @JMLudes: A little reminder, @JohnCena gets it. We Are America ft. John Cena | Love Has No Labels | Ad Council https://t.co/cPSON8pSnH","Sentiment(polarity=0.15625, subjectivity=0.55)"
KfanUltimate2,RT @people: John Cena Offers to Be K-Pop Sensation BTS's Bodyguard https://t.co/aW1YTZoLvN,"Sentiment(polarity=0.1, subjectivity=0.0)"
LYT_Rapline,"RT @IncorrectTaejin: bighit: and now you have a new bodyguard

yg: cool

bighit: AND HIS NAME IS JOHN CENA TOTOROTOOOOO... TOTOROTOOOOOOOOOO","Sentiment(polarity=0.24318181818181817, subjectivity=0.5522727272727272)"
mlssa_jk9703,RT @billboard: John Cena has graciously volunteered to be BTS' bodyguard https://t.co/AVL8XClxMt https://t.co/RNUUOyLBED,"Sentiment(polarity=0.0, subjectivity=0.0)"
bangtan_na,RT @people: John Cena Offers to Be K-Pop Sensation BTS's Bodyguard https://t.co/aW1YTZoLvN,"Sentiment(polarity=0.1, subjectivity=0.0)"
mlssa_jk9703,"RT @billboard: Hey #ARMY, do you think John Cena would make a good bodyguard for @BTS_twt? #BillboardNews https://t.co/6cfKeuE2Ve","Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
bts_IsMyKing,RT @billboard: John Cena has graciously volunteered to be BTS' bodyguard https://t.co/AVL8XClxMt https://t.co/RNUUOyLBED,"Sentiment(polarity=0.0, subjectivity=0.0)"
